,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0,0.38026021,0.24826228600000005,2116.942959,1956.611056,4196.10796,0.127272473,-26.929784700000006,107.3340076,-46.80999314,40.93263381,-21.46377582,24.81627495,-18.94557135,15.25345946,-15.05010408,12.26282276,-15.2340499,14.33661217,-13.82176877,7.562788734,-6.181372493,0.33016500600000004,-6.8295712339999985,0.965921744,-7.570824747,2.918986943,blues
1,0.306450871,0.113475412,1156.070496,1497.668176,2170.053545,0.058613402,-233.8607719,136.17023909999997,3.289489746,48.9311927,8.699106029,13.95475177,5.359448746,0.381334016,-13.49026502,16.87176853,5.145257765,-2.250577765,3.959197787,5.322554727,0.812028402,-1.1072016000000002,-4.556555095,-2.436489803,3.316912612,-0.6084848939999999,blues
2,0.253487102,0.151570767,1331.07397,1973.643437,2900.17413,0.042967238,-221.80254930000004,110.8430705,18.62098358,30.9229964,3.291329639,22.58744675,-20.41830257,12.12099491,-26.34795623,-4.356270119,-26.40667424,-13.03772344,-12.6522277,-1.821905314,-7.260096643,-6.660251774,-14.68269352,-11.71926356,-11.02521621,-13.38726005,blues
3,0.269320022,0.119071715,1361.045467,1567.8045960000004,2739.625101,0.06912392099999999,-207.20808,132.7991755,-15.43898557,60.98672701,0.725806999,12.437827699999998,1.183835723,-1.540779448,-17.88815391,8.358496131,-2.45206763,-0.613248178,0.38487737,2.605127927,-5.188923751,-9.527455287,-9.244394049,-2.848273751,-1.4187068619999998,-5.93260696,blues
4,0.391058605,0.137728348,1811.076084,2052.332563,3927.809582,0.075479513,-145.4345676,102.8290234,-12.51767705,56.99347248,2.271347314,26.59140169,-4.274803265,17.33880938,-7.985592904,15.23542685,-6.934599487000001,7.457217936,-10.47044404,-2.360483396,-6.7836235,2.671134086,-4.760879375,-0.949004851,0.024832053,-2.005314621,blues
5,0.35658817600000003,0.16202762699999998,2068.371125,2033.930047,4231.499413000001,0.104371629,-95.43602667,105.2166999,-26.95301214,60.83087296,-4.828224038,21.53847091,-13.51477824,12.12210695,-20.23363443,12.1386576,-5.2270184330000005,10.26257519,-9.438187173,3.867534655,-10.18745284,3.588092744,-3.100752645,0.194596849,0.842871832,-3.4165764210000003,blues
6,0.37470972,0.11049626,2340.432873,2256.538115,4972.503265,0.121775152,-116.5174019,97.43027908,-13.88019079,48.96675901,-22.58224352,27.7539693,-20.22864953,18.63077043,-14.642884,8.473100382,-16.64465499,10.99819032,-13.86180078,9.735367422000001,-5.089488005,2.63463793,-9.883816292999999,6.159058835,-7.682607919,-4.852478817,blues
7,0.430894125,0.19622159,1946.565652,1979.909934,3955.867746,0.097453681,-67.77097956,111.7041844,-34.64610469,61.33489585,0.050251668,30.56061363,-12.70172482,21.15956663,-13.1311449,16.28229439,-6.335244724,12.29583184,-12.47798835,1.681277903,-5.1420684130000005,4.644001793,-6.919217465,1.040718341,-4.736870881000001,-0.660037066,blues
8,0.290948435,0.08922226,1109.569627,1463.288131,2243.569767,0.051724933,-249.28199590000003,130.9979243,0.665435009,66.69611479,17.90589452,4.62295984,6.610036442999999,1.245375534,1.41917471,-1.584292524,-0.974159309,-3.5750645430000003,-2.926914689,4.598685627,7.478114826,-0.178769574,-2.8188574180000003,-2.667636366,0.751667098,-0.533179328,blues
9,0.329162735,0.066980533,1172.065695,1705.817502,2344.952487,0.045045835,-305.7051872,113.0609114,12.11872261,45.03000324,17.76975937,14.57991675,4.166733602,0.225273155,-7.0217467760000005,13.64427154,8.934528985,1.298478063,5.954477764,8.543866906,1.1176637459999998,0.591558672,0.057473911,-3.712341583,-1.004448062,-1.802433851,blues
